Nom,Commentaire,Secteur d'activité,Localisation,Nombre de postes,Url postes
A.D.R,"A.D.R est une agence de communication spécialisée dans la conception d’expériences pour les marques de luxe, de beauté et de cinéma. Notre expertise dans la création de concepts et la production d’expériences de marque fortes, nous permet d’accompagner nos clients dans une réflexion qui mélange scénographie, storytelling et brand content. La notion d’expérience est aujourd’hui au cœur des stratégies de marques. Notre objectif est donc d’impulser le développement d’une audience engagée tout en créant du sens au travers d’une histoire de marque globale. L’agence est basée à Paris, Cannes et Singapour.",Evénementiel,"Cannes, Paris, Singapour",Candidatures spontanées !,/fr/companies/agenre-a-d-r/jobs
NAOS (Bioderma - Institut Esthederm - Etat Pur),"Mydral est une entreprise qui aide ses clients à mieux comprendre leurs données. Nos clients viennent de divers secteurs d'activités, et de ce fait sont regroupés dans 3 Business Units : Finance, Retail & Service, Public & Industrie.
On les accompagne sur toutes leurs problématiques métiers avec une expertise sur la compréhension et l'automatisation des processus métiers, la data gouvernance, la business science, le reporting, le dashboarding, le data journalisme, la stratégie business. Dans notre offre de services, on propose la Création des centres de compétence Analytics, le Cadrage de projet Analytics, le Pilotage projet, la Préparation de données, la Data Visualisation, l'Intégration plateforme Analytics, la Formation, le Support & TMA.
Nos 3 principales valeurs sont : Excellence, Esprit de corps, Pionnier. Vous souhaitez travailler dans une entreprise qui allie l'humain à la data ? Rejoignez-nous ! Nous avons hâte de VOUS onboarder.","Big Data, IT / Digital, Intelligence artificielle / Machine Learning","Paris, Londres",71 offres,/fr/companies/naos/jobs
DUONYX,"Né en 1988 en Picardie à côté d’Amiens, Evolucare compte aujourd’hui plus de 350 collaborateurs. Le Groupe est un acteur incontournable de la E-santé et de la gestion des établissements médico-sociaux.
Aujourd'hui, Evolucare se développe autour de 5 pôles : Innovation, Sanitaire, Médico-social, Soins critiques et Imagerie.
Les solutions, déployées sur plus de 5000 sites clients, gèrent annuellement plus de 70 millions de rendez-vous médicaux et accompagnent la prise en charge de plus d’1,2 millions de patients et 200 000 personnes en situation de handicap.
Cette forte présence sur le marché est la récompense de la position d’éditeur précurseur dans l’engagement d’une démarche de qualité et de certification pour certaines solutions en tant que Dispositifs Médicaux.","Logiciels, Santé","Villers-Bretonneux, Aix-En-Provence, Boves, Bron, Caen, Le Pecq",5 offres,/fr/companies/duonyx/jobs
Bevouac,"À l'origine de la marque FRNCH, il y a un couple parisien, Franck et Chloé, complémentaire et passionné par la mode. En 2015, la marque est créée.
FRNCH est bien plus qu'une simple marque de vêtements. C'est le résultat d'une vision commune et d'un engagement inébranlable envers la création de vêtements de qualité.
Depuis sa création, FRNCH a connu un succès croissant, attirant l'attention des amateurs de mode du monde entier. Leurs créations allient qualité, style et confort, ce qui leur permet de se démarquer sur le marché compétitif de la mode.
Aujourd'hui, FRNCH a une présence internationale à travers plus de 600 revendeurs dans plus de 21 pays.",Mode,Paris,2 offres,/fr/companies/bevouac/jobs
Lindea,"NAOS est une entreprise internationale française spécialisée dans les soins de la peau qui emploie plus de 3000 personnes. Présent dans plus de 100 pays, NAOS est l’entreprise fondatrice des marques BIODERMA, INSTITUT ESTHEDERM and ETAT PUR, qui partagent une approche scientifique unique : l’écobiologie, union de la biologie et de l’écosystème de la peau. NAOS est une entreprise à raison d’être dont la vocation est d’aimer, comprendre et prendre soin du vivant.",Cosmétique,"Aix-En-Provence, Lyon, Paris",5 offres,/fr/companies/lindea/jobs
Le Village by CA Paris,"Véto-pharma est un leader mondial de la santé de l’abeille, un marché de niche essentiel pour la pollinisation des cultures, le système alimentaire et la biodiversité de notre planète.
Laboratoire pharmaceutique vétérinaire français, Véto-pharma concentre tout son savoir-faire et son expertise dans le développement, la fabrication et la commercialisation de solutions innovantes pour soutenir la santé des abeilles et pour améliorer les pratiques apicoles.
Ses ressources industrielles certifiées Bonnes Pratiques de Fabrication, ainsi que son équipe de recherche et développement sont au service de la filière apicole mais également des acteurs de l'industrie de la santé animale par une offre une offre de façonnage sur mesure qui accompagne les plus grandes entreprises européennes du secteur.
Véto-pharma est ainsi un acteur clé et unique de l'industrie de la santé animale.","Environnement / Développement durable, Pharmaceutique / Biotechnologique","Palaiseau, Chaillac",2 offres,/fr/companies/le-village-by-ca-paris/jobs
Digital Local,"Fondée en 2008, Finaxys est un précurseur du secteur de la Tech en France. Sa spécialisation dans la Data, le Cloud, le DevsecOps et la Blockchain en fait un partenaire privilégié pour les acteurs du secteur financier. Basée à Paris et à Nantes, elle rassemble une équipe de 400 collaborateurs partageant une culture d'innovation et de collaboration.
La mission de Finaxys va au-delà de simplement fournir des services technologiques. Ils s'engagent à créer des solutions sur mesure qui répondent aux besoins spécifiques de chaque client.","Banque, Big Data, Logiciels, SaaS / Cloud Services",Puteaux,2 offres,/fr/companies/digital-local-1/jobs
Sas Strategir,"Chez Alptis, « Assurer par cœur »… c’est notre signature. 
Alptis est un groupe de protection sociale indépendant et entrepreneurial, créé à Lyon en 1976. Notre ambition ? Permettre à chacun d'être acteur de sa santé. Nous sommes fiers de notre modèle associatif singulier dans le monde de l'assurance, axé sur la gouvernance participative et la rentabilité raisonnée.
Les domaines dans lesquels nous mettons tout notre cœur et notre énergie au service de nos clients (particuliers, travailleurs indépendants et entreprises) : l'assurance santé, la prévoyance, l'assurance de prêts, l'épargne retraite et le financement.
Rejoindre Alptis, c'est contribuer par ses compétences, ses savoir-faire, son envie d’apprendre, son sens du collectif au développement d’une entreprise attachante qui allie bienveillance et performance.
Avec une démarche RSE ambitieuse, nous souhaitons agir sur la société pour contribuer collectivement à un monde meilleur. Notre politique handicap, nos achats responsables, notre démarche de recyclage des déchets… et même notre potager participatif sont la traduction concrète de notre raison d’être « nous avons à cœur d’agir ensemble pour accompagner et protéger les différents parcours de vie ».",Assurance,Lyon,3 offres,/fr/companies/sas-strategir/jobs
Deskare,"Deskare est une startup “HRTech” créée en 2021 dont la mission est simple : révolutionner l’expérience employé des entreprises qui ont adopté le travail hybride.
Concrètement, Deskare fournit aux entreprises une solution SaaS qui permet :


Aux employés : de gérer simplement leur emploi du temps en déclarant rapidement leurs jours de travail à distance ou au bureau, et de les partager dans le but de permettre à tous d'être au ""bon endroit au bon moment""


Aux équipes RH et Environnement de Travail : d’optimiser leur politique de travail hybride, de flex-office et l’aménagement de leurs locaux grâce à une analyse de données poussée


Tout ça sur une interface que nos clients aiment prendre en main et utiliser !
En 2 ans, Deskare équipe de nombreux groupes en France et en Europe : Sodexo, Lagardère News, Christian Dior, Action Contre La Faim... et compte bien ne pas s'arrêter en si bon chemin !
Après avoir levé 1,2 millions d’euros, l’équipe rassemble une douzaine de personnes, en attendant l’arrivée de plusieurs profils : bientôt toi ?",SaaS / Cloud Services,Paris,6 offres,/fr/companies/deskare-1/jobs
Powder,"Mindquest est une société de services de recrutement mettant en relation des entreprises avec les meilleurs professionnels de l’IT et de la finance.
Notre aventure a débuté en 2014, avec Thomas Delfort, ancien DSI de grandes multinationales et Manuela Garampon, experte en recrutement de profils IT. Ils ont décidé d'unir leurs forces pour créer un cabinet dont l'objectif était d'aider les entreprises à couvrir l'ensemble de leurs besoins en recrutement grâce à une offre de service hybride.
👉  Chez Mindquest notre mission est simple : nous aidons les entreprises à trouver les meilleurs professionnels de l'informatique et de la finance pour leurs projets ET nous accompagnons les experts IT et finance dans leur recherche d'opportunités professionnnelles en freelance ou en CDI en France et à l’étranger.
Quatre valeurs fondamentales nous définissent aujourd'hui :
👊 Nous allons droit au but
💪Nous misons sur l’expertise
🧠 Nous sommes audacieux et nous nous efforçons d'innover en permanence
🤝 Nous sommes pleinement engagés auprès de nos clients et consultants","IT / Digital, Transformation","Londres, Barcelone, Paris",Candidatures spontanées !,/fr/companies/powder/jobs
